#{"t_start": 1628804864.770609, "env_id": "LunarLander-v2"}
r,l,t
-99.768093,86,818.495692
29.272099,94,818.897116
-58.243551,75,819.226465
11.818415,128,819.858913
-24.781005,95,820.316252
-14.796398,72,820.613169
-85.168162,66,820.898742
-48.061272,88,821.302194
-39.501864,88,821.741446
-8.197415,111,822.151265
-92.139949,75,822.42498
-30.066006,99,822.801048
-137.068998,63,823.101119
-135.231785,76,823.508732
-31.988219,91,823.997498
-3.929596,83,824.414095
-85.770553,58,824.680002
-29.371267,111,825.197202
-9.046941,92,825.60321
-123.719784,61,825.852294
-98.473296,80,826.227868
-8.081719,100,826.709696
-20.863126,86,827.103306
-51.894768,93,827.455933
-84.606582,68,827.758142
-96.684435,64,828.048091
-132.939478,85,828.492241
-57.977742,83,828.90861
-24.774307,104,829.423984
4.504089,142,830.196456
-29.168807,82,830.575767
-12.33678,110,831.114611
-139.972779,66,831.448596
-5.133231,85,831.762111
-9.364877,96,832.181416
-73.712132,73,832.517284
-86.286557,91,833.00172
-14.750417,112,833.642865
-81.556162,57,833.941976
-11.761507,85,834.391085
230.057372,265,835.682832
-22.903162,149,836.437444
-130.250015,58,836.671005
-90.615403,322,838.352803
-71.810469,66,838.705268
-125.88256,77,839.095576
-8.048739,118,839.693901
-26.844314,95,840.041992
7.1556,126,840.553556
-60.586013,89,840.961144
-110.812428,54,841.209571
-67.392985,69,841.533232
2.329806,71,841.859097
-41.041599,66,842.093949
-127.372887,65,842.385673
-106.505071,72,842.699515
-59.310153,255,844.233444
17.823613,92,844.706017
-103.373199,91,845.148969
-66.67823,54,845.405315
-20.043858,105,845.911427
201.99182,268,847.030757
-107.229369,71,847.339592
-5.96726,74,847.719512
-67.403732,68,848.07853
-32.622666,66,848.433235
-42.3806,73,848.811804
-62.862719,54,849.099874
22.063619,126,849.679025
13.201459,145,850.271425
-24.890718,108,850.657843
-43.528001,97,851.011386
-160.080236,147,851.694788
-82.280754,205,852.712017
-84.546921,71,852.961524
-57.779613,312,854.49691
0.32501,116,855.141271
-19.837435,78,855.546938
-34.618862,200,856.565091
-64.679323,81,856.939825
-14.962807,114,857.526482
-20.104356,97,857.923396
8.064448,71,858.179928
-90.715361,90,858.498789
-64.935316,88,858.899906
-84.175901,221,860.048934
-62.525331,58,860.313158
-26.512831,102,860.778897
-94.856728,94,861.293107
-87.538401,68,861.640384
-75.829142,74,862.043148
18.574833,155,862.864589
-6.614878,98,863.2179
-42.56587,72,863.527909
-41.089168,60,863.793209
-19.0708,71,864.141386
-4.767353,77,864.519687
-92.384022,79,864.886164
-7.723145,146,865.430184
-105.345473,90,865.727277
-14.279834,64,866.028002
-1.86439,115,866.596288
-30.104436,63,866.947596
-22.483784,70,867.383325
-77.446375,82,867.835828
-36.091681,80,868.253831
-29.319575,104,868.838289
