#{"t_start": 1628797123.813883, "env_id": "LunarLander-v2"}
r,l,t
-133.962951,78,21.544734
-409.374889,83,21.581786
-91.240207,70,21.616028
-51.276704,77,21.658977
-501.333716,80,21.725276
-101.865145,94,21.779442
-292.1064,94,21.828916
-234.519026,74,21.868055
-39.292957,111,21.947774
-105.96972,123,22.01577
-148.543613,120,22.081432
-162.552686,102,22.133296
-136.957685,82,22.201503
-282.782583,73,22.240236
-341.524518,70,22.278902
-354.456208,86,22.320228
-178.087774,83,22.390659
-87.963845,84,22.432875
-95.319486,76,22.472119
-178.401383,93,22.515666
-297.547224,69,22.564023
-350.314333,120,22.630645
-48.372695,58,22.660487
-119.859918,83,22.700081
-261.477745,100,22.776934
-274.472385,125,22.844018
-125.529138,94,22.890417
-168.480033,70,22.927138
-156.792606,91,22.988895
-66.685126,70,23.025221
-228.235013,83,23.068926
-421.291323,122,23.140141
-168.176039,84,23.201725
-380.387354,87,23.247495
-105.308356,99,23.295813
-215.842433,81,23.334881
-146.373445,67,23.391579
-328.946522,97,23.451775
-79.313359,86,23.496282
-140.852177,69,23.531246
-139.955466,63,23.577876
-324.813417,97,23.637173
-272.68628,111,23.700008
-245.888479,98,23.751953
-177.779587,90,23.81997
-55.139291,85,23.864952
-96.045652,83,23.904367
-419.410999,103,23.964336
-78.772689,103,24.040492
-87.407918,73,24.081588
-297.800805,100,24.129694
-99.949433,66,24.162114
-96.413164,112,24.249492
-325.944278,90,24.295969
-190.15172,84,24.335215
-145.689765,112,24.396787
-118.734868,69,24.448091
-99.352759,73,24.490449
-182.524781,89,24.533913
20.775156,145,24.6158
-225.819486,92,24.684808
-192.349965,106,24.734836
-182.021759,129,24.807536
-204.214001,76,24.845294
-123.144797,87,24.918073
-91.49938,73,24.957269
-90.946836,71,24.991785
-230.71988,73,25.030872
-109.458509,86,25.095274
-128.442116,79,25.134406
-86.219225,74,25.168811
-65.57752,77,25.2127
-83.291553,108,25.289083
-56.546787,94,25.337683
-149.491318,136,25.413574
-106.362316,88,25.455672
-212.934922,113,25.540509
-66.482868,89,25.585776
-190.55144,90,25.634063
-124.294704,65,25.666222
-9.086343,117,25.761639
-136.846705,77,25.798139
-350.335497,126,25.865489
-71.74671,62,25.89728
-222.148673,81,25.957474
-205.426838,100,26.007298
-220.759958,88,26.050891
-45.873092,72,26.087197
-394.152462,89,26.153768
-103.481504,103,26.212617
-126.640536,65,26.239738
-233.891216,112,26.302633
-95.317743,85,26.365522
-199.807845,82,26.410466
-111.357366,89,26.454118
-143.013853,86,26.504149
-108.017008,76,26.55796
-111.013509,74,26.603544
-97.705165,93,26.657113
-152.460899,66,26.697079
-315.977942,148,26.816475
-422.461104,102,26.870593
-168.991673,94,26.925239
-463.899696,97,26.977924
-482.443503,91,27.057501
-202.146936,101,27.128404
-118.256441,79,27.167138
-126.615567,85,27.217104
-181.334805,86,27.278826
-32.311334,98,27.334339
-81.231648,92,27.385767
-68.239276,72,27.430002
-89.893019,71,27.477221
-370.929807,86,27.527127
-84.906126,62,27.556112
-259.536911,83,27.600798
-410.96463,113,27.682212
-202.833338,73,27.720847
-269.572575,109,27.7797
-111.936643,70,27.815044
-164.880779,92,27.880258
-173.023876,97,27.933241
-150.134237,122,28.001267
-83.025933,81,28.044514
-194.489628,103,28.120042
-213.879614,62,28.151384
-119.498221,108,28.20938
-203.961649,80,28.251388
-190.84218,99,28.320913
-411.806717,83,28.362811
-47.672575,76,28.401083
-130.56825,64,28.434953
-127.731092,65,28.47993
-268.821438,104,28.545594
-139.311217,68,28.574745
-129.701301,68,28.605773
-200.401345,131,28.716738
-251.033792,74,28.753805
-426.334042,100,28.803719
-339.866767,106,28.863541
-112.527375,64,28.904026
-132.620083,105,28.969907
-289.401532,100,29.024338
-292.744424,102,29.082671
-300.722173,84,29.147712
-270.378271,69,29.183664
-14.773458,71,29.21868
-332.300696,100,29.27183
-340.909201,114,29.362442
-123.461305,62,29.3942
-83.893672,117,29.453862
-268.914045,123,29.528327
-152.820435,86,29.59043
-116.947335,101,29.683538
-110.6788,88,29.763382
-145.107428,88,29.837704
-124.319642,94,29.93246
-214.756688,132,30.050123
-56.835045,67,30.106548
-232.562071,111,30.203319
-390.009143,83,30.268422
-123.576336,113,30.341122
-107.582982,87,30.417633
-84.971779,78,30.49371
-84.277805,91,30.557774
-315.370552,88,30.617874
-55.218714,136,30.688741
-353.366191,92,30.737721
-124.017118,57,30.777747
-82.670933,68,30.818402
-112.069403,72,30.855486
-257.242687,103,30.904028
-131.747388,78,30.962685
-424.967929,77,31.016523
-99.817558,59,31.046868
-179.531594,110,31.105214
-163.985722,105,31.205183
-152.045515,80,31.250963
-115.502434,59,31.279413
-197.398537,83,31.319072
-150.072129,77,31.36996
-69.999207,74,31.415021
-121.588437,78,31.451185
-46.333434,73,31.488059
-67.321207,78,31.545463
-498.913615,94,31.60156
-126.297277,75,31.636333
-122.393335,81,31.681372
-119.560504,107,31.759342
-100.004195,56,31.784357
-168.835572,129,31.852623
-86.798749,80,31.893923
-198.734391,88,31.952324
-283.045793,101,32.008255
-110.848803,107,32.061578
-240.218132,74,32.100232
-78.95649,84,32.152546
-122.318057,114,32.222783
-81.527963,69,32.25554
-172.799284,111,32.317335
-202.33249,113,32.396878
-259.463387,82,32.434971
-119.961949,124,32.499381
-253.357804,90,32.542792
-101.552858,125,32.635952
-121.217832,79,32.67163
-109.507107,89,32.722659
-488.039651,93,32.770365
-152.887441,117,32.85482
-92.097371,115,32.915209
-326.793824,100,32.96561
-343.548184,107,33.019924
-116.221235,118,33.116863
-121.861298,102,33.168777
-136.930998,91,33.216417
-179.23246,119,33.279675
-384.685173,95,33.348341
-124.625516,69,33.38122
-148.808052,72,33.417627
-299.445208,108,33.476839
-278.180354,80,33.540388
-75.660732,64,33.580698
-101.601911,108,34.150363
-213.301043,104,34.319477
-442.101271,102,34.519115
-207.503956,85,34.661717
-221.694667,99,34.831
-284.741538,93,34.989016
-116.694803,110,35.200895
-294.499861,92,35.353631
-418.502181,186,35.717068
-325.649647,87,35.866377
-413.898297,83,36.027045
-288.415766,120,36.24661
-272.611372,90,36.396143
-139.246843,114,36.597713
-501.956656,108,36.814327
-450.732624,101,36.991306
-86.35137,107,37.168659
-215.014651,100,37.344478
-565.465941,111,37.550842
-356.865897,85,37.689755
-265.289332,190,38.044926
-201.642416,177,38.347032
-23.583034,79,38.50198
-466.971203,135,38.732767
-371.149162,84,38.873648
-424.948137,221,39.294864
-488.485715,113,39.519321
-307.34513,78,39.652432
-309.514355,94,39.811783
-357.407173,221,40.235454
-144.923387,139,40.5118
-108.67687,138,40.764341
2.819154,99,40.931311
-409.288175,144,41.182219
-369.182441,114,41.404164
-420.876973,120,41.610158
-214.711816,107,41.790864
-393.160294,93,41.950437
-144.803781,138,42.207504
-257.219883,92,42.369821
-185.821249,118,42.583213
-255.638203,130,42.814541
-358.099805,123,43.040958
-407.32147,84,43.189649
-465.338102,173,43.508423
-268.519819,119,43.715128
-123.586572,123,43.966083
-218.858631,92,44.123893
-254.752415,170,44.436628
-211.141399,151,44.714354
-148.088968,146,45.004273
-81.285799,141,45.253495
-148.430484,83,45.387733
-65.90067,121,45.596803
-29.337581,82,45.759645
-279.106712,118,45.960071
-155.51091,124,46.172382
-128.800939,890,50.282974
-154.239466,81,50.447912
-229.61157,125,50.663539
-171.01123,146,50.92489
-63.220728,74,51.049953
-175.617768,135,51.293148
-65.183853,92,51.442394
-104.262497,83,51.578127
-193.320819,179,51.907002
-336.376948,149,52.200736
-102.302178,111,52.388231
-68.064174,112,52.578313
-148.260883,135,52.808768
-213.100144,155,53.10972
-136.666129,123,53.385231
-103.545448,83,53.575829
-215.2939,150,53.83762
-257.063396,141,54.13504
-164.827541,100,54.373043
-143.345637,95,54.625544
-402.259652,124,54.974661
-107.344183,88,55.179401
-175.057961,104,55.360497
-150.204249,128,55.592024
-148.293104,96,55.772344
-141.832092,87,55.96084
-108.020466,119,56.169409
-84.833509,115,56.377058
-222.82155,121,56.601884
-161.975388,154,56.916608
-117.407557,157,57.237222
-17.193474,73,57.370555
-126.346041,122,57.584276
-94.372375,94,57.797573
-105.225507,146,58.066466
-251.239576,142,58.320867
-161.276305,145,58.604911
-272.959952,150,58.943316
-93.777245,73,59.076399
-226.112043,122,59.310096
-14.594731,84,59.464608
-62.620613,94,59.696876
-77.594774,92,59.87771
-52.01418,138,60.127217
-203.330606,141,60.412026
-98.741565,77,60.571473
-87.763127,139,60.836866
-163.308109,122,61.070809
-164.830813,127,61.31254
-112.379583,753,64.011553
-125.265437,130,64.232566
-131.13318,187,64.562301
-127.950036,157,64.841078
-229.932553,140,65.11186
-111.52675,101,65.292749
-122.198194,128,65.513247
-271.285992,132,65.746196
-262.762252,144,66.029673
2.626142,164,66.338961
-204.218628,135,66.581107
-169.435781,87,66.728671
-164.394888,115,66.962251
-175.16618,130,67.191585
-291.020155,145,67.445881
-61.614908,87,67.627053
-152.090675,147,67.928646
-100.65008,80,68.063456
-357.772574,113,68.296769
-236.247401,134,68.543982
-58.16964,134,68.800416
-171.146977,138,69.064445
-412.783258,112,69.256847
-95.151954,190,69.61261
-141.757526,75,69.796083
-186.283213,143,70.380881
-230.488349,141,70.823085
-100.530584,117,71.260339
-228.657188,215,71.817108
-221.999717,152,72.086487
-207.524244,127,72.305293
-166.005757,103,72.485991
-55.265647,170,72.836558
-144.998837,164,73.135789
-88.027977,111,73.329623
-234.487899,208,73.739048
-166.024906,198,74.273882
-183.792529,154,74.600173
-146.637737,151,74.879045
-82.495614,122,75.099634
-74.689306,191,75.63124
-199.813031,89,75.841977
-222.849484,122,76.181786
-133.663832,139,76.480423
-66.60809,144,76.789352
-95.247364,101,76.964677
-73.671308,142,77.203453
-115.851353,99,77.373978
-156.522079,96,77.573275
-259.228747,166,77.89186
-53.323408,124,78.113545
-179.154716,125,78.338328
-58.940151,148,78.633073
-155.361858,106,78.813051
-60.978769,86,78.95792
-77.384731,107,79.140147
-163.595027,153,79.437281
-89.160082,168,79.752358
-94.523176,139,80.003794
-117.789734,146,80.29956
-121.034658,149,80.685073
-99.631661,145,81.110513
-74.948806,128,81.491325
42.023056,118,81.868204
48.830404,121,82.18215
-10.974756,91,82.401424
-141.269649,159,82.899467
-66.12326,128,83.212815
-108.71039,124,83.459985
-170.788345,182,83.801284
-119.097455,103,83.984148
-134.985982,111,84.188423
-22.482091,86,84.403773
-162.826063,137,84.65275
-50.753458,309,85.317227
-339.586267,137,85.630979
-134.054553,94,85.902836
-11.879244,252,86.771098
-137.61648,70,86.950673
-59.528395,119,87.203626
-110.738884,136,87.536457
-18.84988,145,87.88112
-114.468615,136,88.135242
-367.652022,147,88.416158
-172.834583,111,88.684364
-146.511896,131,88.999431
-55.98243,113,89.320836
-49.271049,168,89.803694
-149.44722,127,90.079215
-56.545559,190,90.439471
-114.051695,137,90.679546
-348.48662,127,90.900719
-114.673079,176,91.443679
-194.182989,225,92.09686
-158.828056,113,92.423526
-114.547902,149,92.808417
-89.624936,204,93.213088
-98.777385,122,93.439547
-124.355733,159,93.740533
-147.37653,128,94.003415
-141.02524,132,94.300529
-75.082398,130,94.668741
26.191632,108,94.903505
-90.176523,125,95.140157
-116.155724,166,95.488081
-107.674617,105,95.683279
-151.579296,122,95.912616
-11.692788,104,96.095414
-31.59408,182,96.467249
-109.271821,75,96.59094
-70.821406,135,96.840785
-61.525684,84,96.988104
-29.781604,121,97.232238
-113.481952,141,97.485898
-124.263549,121,97.713644
-94.892697,172,98.040036
-97.261486,91,98.240402
-152.909772,131,98.513711
-103.670332,171,98.975183
-100.191706,110,99.251394
-76.24463,173,99.597874
-120.871735,88,99.753774
-116.398455,139,100.002729
-169.502874,146,100.272832
-238.67418,128,100.534202
-121.175168,124,100.756187
-140.328363,132,100.992413
-80.316057,94,101.158302
-73.038122,156,101.473051
-102.75824,167,101.782019
-100.32444,100,101.958085
-100.379216,94,102.124651
-133.559509,160,102.506181
33.426444,202,102.91816
-93.289373,88,103.065453
-140.856779,167,103.425235
-93.986063,106,103.66757
-158.752393,122,104.32045
-89.658504,164,105.008904
-92.14913,161,105.381759
-127.182613,189,105.882664
-348.463059,130,106.118605
-79.038179,124,106.337813
-192.977,135,106.611814
-150.735225,187,107.279161
-349.308718,236,108.001697
-105.263588,93,108.24545
-89.246878,154,108.610258
-89.225074,164,109.085419
31.039651,220,109.625394
-82.537664,85,109.796816
-110.342192,96,110.027416
-219.80736,193,110.540014
-93.618682,143,111.082192
-3.021315,183,111.594072
-249.599678,162,111.958424
-117.834216,220,112.529859
-81.889082,81,112.679732
-68.147421,148,112.954177
-108.712328,160,113.239074
-90.15388,256,113.810318
-75.294046,98,113.993929
-114.038333,94,114.158895
-142.846078,93,114.327403
-22.051126,106,114.601612
-61.54652,125,114.896395
-82.604636,123,115.214967
-60.816511,112,115.530129
-93.236781,155,115.860786
-149.055007,125,116.080458
-79.736226,135,116.323643
-138.970779,116,116.525826
-66.103948,139,116.814173
17.029071,246,117.326099
-30.911381,136,117.58279
-16.76978,152,117.95205
-91.768985,90,118.286427
-116.689985,210,118.960378
-93.990866,248,119.69974
-47.147056,101,119.941087
-130.900022,89,120.17846
-75.152229,138,120.474909
-160.510429,137,120.72203
-162.834544,120,120.941581
-94.232465,188,121.328337
-70.866745,99,121.504444
-118.581411,186,121.858982
-142.19218,216,122.330354
-107.565476,117,122.723682
-71.190717,79,122.933987
-55.035096,147,123.57703
-64.476172,100,123.86357
-80.693835,147,124.213171
27.370686,382,125.230411
-142.049801,181,125.606364
-74.215833,84,125.786789
-115.698105,158,126.215338
-101.273508,91,126.411295
-213.939521,143,126.817638
-50.895407,109,127.163704
-55.004406,78,127.394789
-44.045678,177,127.828762
-72.362558,126,128.1335
-73.501574,127,128.497214
-93.434349,142,128.784277
95.741147,1000,132.789546
-109.056672,187,133.156962
-145.057789,235,133.63995
-60.184834,364,134.651372
-105.858363,172,135.128762
-60.752707,166,135.676378
46.846993,1000,139.917986
-84.974324,171,140.286212
-93.973713,93,140.461171
-144.999614,382,141.546667
-208.001049,342,142.41802
-107.371369,133,142.774524
-97.334429,289,143.455798
-93.934711,82,143.651229
-82.562224,375,144.803384
-141.902739,231,145.322826
-148.709087,272,145.919192
-81.475516,247,146.652287
-73.20442,174,147.116326
-103.849502,114,147.530753
-112.605882,138,147.833575
-107.911497,253,148.388946
-84.167857,104,148.627655
-82.342949,166,149.092135
-102.690972,125,149.463545
-67.665384,261,150.109564
-70.517861,403,151.259861
-170.766861,143,151.572262
-101.56444,187,151.953365
-44.413753,132,152.203876
-59.094857,126,152.470438
-99.154935,409,154.056286
-105.0823,335,155.090891
-210.788692,195,155.481115
-135.126976,244,156.043734
-19.103484,153,156.388273
-57.083713,242,156.937865
-93.03744,179,157.364059
-33.304309,156,158.051199
-117.670255,118,158.500524
-5.226273,98,158.913532
-95.46352,119,159.208231
-25.872866,163,159.526376
-80.909316,144,159.84183
-14.039668,138,160.115232
-81.229893,130,160.358098
25.192352,244,160.931576
-89.726306,134,161.288389
7.457281,166,161.671343
-23.081038,183,162.010327
22.491046,161,162.394312
-85.282967,109,162.734132
-12.871142,193,163.330577
-60.937789,147,163.744202
-53.352848,102,164.000224
-97.065625,268,164.809409
-84.96862,138,165.096601
21.876354,137,165.404512
-84.139073,295,166.226498
23.057716,1000,169.961725
-158.505513,356,170.857297
-102.48059,221,171.303755
-36.628673,189,171.682249
-65.594427,120,171.946115
-81.526804,122,172.17423
-27.935214,179,172.527859
-9.105537,241,173.095355
9.964014,189,173.644625
-46.177021,144,174.038875
-62.544289,249,174.839324
-38.151308,239,175.776424
-147.605418,260,176.427607
-16.611513,227,176.895513
-37.373785,157,177.243606
-122.697163,165,177.661244
-8.858081,199,178.197751
-41.945371,414,179.463214
2.232597,181,180.003967
-45.507027,241,181.03899
75.716637,1000,185.958874
-92.262299,141,186.230926
-208.009202,147,186.501712
-7.753887,138,186.769092
-56.313143,234,187.297106
-20.093744,148,187.597124
-63.396338,146,187.89266
-34.732382,161,188.631972
-85.951513,349,189.780877
-38.610648,119,190.014194
-27.19167,205,190.485357
-76.588007,135,190.811524
-57.26731,219,191.352746
-42.310602,186,191.730768
-92.002446,225,192.243134
-42.865516,408,193.981653
-18.843954,219,194.489616
-37.939456,268,195.085279
-51.203921,300,196.005884
0.06135,367,196.911798
-41.995751,174,197.285596
-67.655551,325,198.09429
-69.235411,368,199.405764
-75.516791,274,200.035148
-68.016169,109,200.271747
-83.893767,219,200.717889
-39.692854,107,200.931365
-68.802142,258,201.68472
1.362494,274,202.879497
54.479017,1000,206.518727
-64.264453,497,207.957942
-3.586706,131,208.213885
-31.609405,759,210.917979
-88.332836,135,211.310086
-49.18876,467,212.543488
-77.390563,280,213.184361
-79.530489,300,213.914737
-19.616027,413,215.058081
-182.772973,116,215.311436
-101.804259,823,218.430209
-24.268392,329,219.312268
70.269349,1000,222.472365
-99.02582,1000,226.827029
-96.882005,529,228.44322
35.16475,1000,233.648132
-147.265601,628,235.855273
-70.933197,246,236.407714
26.312092,212,236.860818
8.741482,254,237.465077
-16.636931,281,238.213695
-96.524983,363,239.531197
21.291967,1000,243.5123
53.188656,1000,248.085545
-68.761967,1000,251.874258
-156.606525,999,255.232383
-119.67179,651,257.422523
-114.683103,1000,261.63764
-141.866805,1000,266.708364
-67.669392,1000,270.57336
-83.389153,470,272.061994
-90.163308,795,275.867181
-90.163297,1000,279.735871
14.090722,187,280.124001
-11.90592,303,280.855549
-133.815745,1000,285.827309
-103.643428,396,286.840442
-45.036142,1000,291.551388
57.838539,1000,295.12774
-34.595526,1000,300.358768
-122.445151,1000,304.672931
-78.777411,1000,308.8833
-87.388826,1000,313.510361
42.272609,1000,318.973058
10.72479,1000,323.28162
-134.70345,1000,327.859985
-127.876692,1000,331.522221
-62.460723,1000,337.50684
-34.993351,1000,342.054706
-80.589669,1000,346.299487
-147.577103,1000,350.033317
-3.870106,1000,355.259589
-4.530909,203,355.703663
-114.00576,1000,359.566861
-106.406382,1000,364.522468
-128.222814,1000,369.588838
-68.007012,1000,373.730351
-113.60312,1000,377.506279
-96.492097,1000,381.013673
-99.165632,1000,386.098443
